user.cs_path: /usr/bin:/bin:/usr/sbin:/sbin
net.inet.icmp.icmplim_random_incr: 50
net.inet.icmp.bmcastecho: 1
net.inet.icmp.drop_redirect: 1
net.inet.icmp.log_redirect: 0
net.inet.igmp.debug: 0
net.inet.igmp.default_version: 3
net.inet.igmp.gsrdelay: 10
net.inet.igmp.legacysupp: 0
net.inet.igmp.recvifkludge: 1
net.inet.igmp.sendlocal: 1
net.inet.igmp.sendra: 1
net.inet.igmp.v1enable: 1
net.inet.igmp.v2enable: 1
net.inet.tcp.mssdflt: 512
net.inet.tcp.keepidle: 7200000
net.inet.tcp.keepintvl: 75000
net.inet.tcp.sendspace: 131072
net.inet.tcp.recvspace: 131072
net.inet.tcp.keepinit: 75000
net.inet.tcp.v6mssdflt: 1024
net.inet.tcp.reass.overflows: 0
net.inet.tcp.log.enable: 0
net.inet.tcp.log.enable_usage: connection:0x1 rtt:0x2 ka:0x4 loop:0x10 local:0x20 gw:0x40 syn:0x100 fin:0x200 rst:0x400 dropnecp:0x1000 droppcb:0x2000 droppkt:0x4000 fswflow:0x8000 
net.inet.tcp.log.level_info: 0
net.inet.tcp.log.privacy: 1
net.inet.tcp.log.rate_current: 0
net.inet.tcp.log.rate_duration: 60
net.inet.tcp.log.rate_exceeded_total: 0
net.inet.tcp.log.rate_limit: 600
net.inet.tcp.log.rate_max: 0
net.inet.tcp.log.rtt_port: 0
net.inet.tcp.log.thflags_if_family: 0
net.inet.tcp.backoff_maximum: 65536
net.inet.tcp.clear_tfocache: 0
net.inet.tcp.disable_tcp_heuristics: 0
net.inet.tcp.ecn_timeout: 60
net.inet.tcp.ack_strategy: 1
net.inet.tcp.aggressive_rcvwnd_inc: 1
net.inet.tcp.autorcvbufmax: 4194304
net.inet.tcp.autotunereorder: 1
net.inet.tcp.blackhole: 0
net.inet.tcp.challengeack_limit: 10
net.inet.tcp.delayed_ack: 3
net.inet.tcp.disable_access_to_stats: 1
net.inet.tcp.do_better_lr: 1
net.inet.tcp.do_rfc5961: 1
net.inet.tcp.doautorcvbuf: 1
net.inet.tcp.drop_synfin: 1
net.inet.tcp.flow_control_response: 1
net.inet.tcp.log_in_vain: 0
net.inet.tcp.maxseg_unacked: 8
net.inet.tcp.rcvsspktcnt: 512
net.inet.tcp.recv_allowed_iaj: 5
net.inet.tcp.recvbg: 0
net.inet.tcp.rexmt_thresh: 3
net.inet.tcp.rfc3465: 1
net.inet.tcp.rfc3465_lim2: 1
net.inet.tcp.slowlink_wsize: 8192
net.inet.tcp.acc_iaj_react_limit: 200
net.inet.tcp.ack_compression_rate: 5
net.inet.tcp.autosndbufinc: 8192
net.inet.tcp.autosndbufmax: 4194304
net.inet.tcp.do_ack_compression: 1
net.inet.tcp.ecn_initiate_out: 2
net.inet.tcp.ecn_negotiate_in: 2
net.inet.tcp.ecn_setup_percentage: 100
net.inet.tcp.enable_tlp: 1
net.inet.tcp.local_slowstart_flightsize: 8
net.inet.tcp.min_iaj_win: 16
net.inet.tcp.packetchain: 50
net.inet.tcp.path_mtu_discovery: 1
net.inet.tcp.randomize_timestamps: 1
net.inet.tcp.recv_throttle_minwin: 16384
net.inet.tcp.rtt_recvbg: 1
net.inet.tcp.socket_unlocked_on_output: 1
net.inet.tcp.tso: 1
net.inet.tcp.sack: 1
net.inet.tcp.sack_globalholes: 0
net.inet.tcp.sack_globalmaxholes: 65536
net.inet.tcp.sack_maxholes: 128
net.inet.tcp.fastopen: 3
net.inet.tcp.fastopen_backlog: 10
net.inet.tcp.icmp_may_rst: 1
net.inet.tcp.init_rtt_from_cache: 1
net.inet.tcp.microuptime_init: 7305208
net.inet.tcp.minmss: 216
net.inet.tcp.now_init: 766885825
net.inet.tcp.pcbcount: 17
net.inet.tcp.randomize_ports: 0
net.inet.tcp.rexmt_slop: 200
net.inet.tcp.rtt_min: 100
net.inet.tcp.tcbhashsize: 128
net.inet.tcp.tso_debug: 0
net.inet.tcp.tw_pcbcount: 0
net.inet.tcp.win_scale_factor: 3
net.inet.tcp.always_keepalive: 0
net.inet.tcp.broken_peer_syn_rexmit_thres: 10
net.inet.tcp.keepcnt: 8
net.inet.tcp.max_persist_timeout: 0
net.inet.tcp.msl: 15000
net.inet.tcp.pmtud_blackhole_detection: 1
net.inet.tcp.pmtud_blackhole_mss: 1200
net.inet.tcp.tcp_resched_timerlist: 837
net.inet.tcp.tcp_timer_advanced: 9
net.inet.tcp.timer_fastmode_idlemax: 10
net.inet.tcp.background_sockets: 0
net.inet.tcp.cc_debug: 0
net.inet.tcp.cubic_sockets: 17
net.inet.tcp.newreno_sockets: 0
net.inet.tcp.use_newreno: 0
net.inet.tcp.cubic_fast_convergence: 0
net.inet.tcp.cubic_minor_fixes: 1
net.inet.tcp.cubic_rfc_compliant: 1
net.inet.tcp.cubic_tcp_friendliness: 0
net.inet.tcp.cubic_use_minrtt: 0
net.inet.tcp.bg_allowed_increase: 8
net.inet.tcp.bg_ss_fltsz: 2
net.inet.tcp.bg_target_qdelay: 100
net.inet.tcp.bg_tether_shift: 1
net.inet.udp.checksum: 1
net.inet.udp.maxdgram: 9216
net.inet.udp.recvspace: 786896
net.inet.udp.blackhole: 0
net.inet.udp.log_in_vain: 0
net.inet.udp.pcbcount: 13
net.inet.udp.randomize_ports: 1
net.inet.ipsec.def_policy: 1
net.inet.ipsec.esp_trans_deflev: 1
net.inet.ipsec.esp_net_deflev: 1
net.inet.ipsec.ah_trans_deflev: 1
net.inet.ipsec.ah_net_deflev: 1
net.inet.ipsec.ah_cleartos: 1
net.inet.ipsec.ah_offsetmask: 0
net.inet.ipsec.dfbit: 0
net.inet.ipsec.ecn: 0
net.inet.ipsec.debug: 0
net.inet.ipsec.esp_randpad: -1
net.inet.ipsec.bypass: 0
net.inet.ipsec.esp_port: 4500
net.inet.mptcp.dss_csum: 0
net.inet.mptcp.enable: 1
net.inet.mptcp.fail: 1
net.inet.mptcp.keepalive: 840
net.inet.mptcp.mptcp_cap_retr: 4
net.inet.mptcp.probecnt: 5
net.inet.mptcp.probeto: 1000
net.inet.mptcp.rto_thresh: 1500
net.inet.mptcp.rtthist_thresh: 600
net.inet.mptcp.alternate_port: 0
net.inet.mptcp.dbg_area: 31
net.inet.mptcp.dbg_level: 1
net.inet.mptcp.pcbcount: 0
net.inet.mptcp.allow_aggregate: 0
net.inet.mptcp.expected_progress_headstart: 5000
net.inet.mptcp.no_first_party: 0
net.inet.mptcp.nrto: 3
net.inet.mptcp.rto: 3
net.inet.mptcp.tw: 60
net.inet.raw.maxdgram: 8192
net.inet.raw.pcbcount: 1
net.inet.raw.recvspace: 8192
net.inet.apn_fallback.debug: 0
net.inet.apn_fallback.enable: 1
net.inet.log_restricted: 0
net.link.generic.system.ifcount: 29
net.link.generic.system.port_used.entry_count: 0
net.link.generic.system.port_used.entry_gen: 0
net.link.generic.system.port_used.verbose: 0
net.link.generic.system.port_used.wakeuuid_not_set_count: 0
net.link.generic.system.port_used.wakeuuid_not_set_last_if: 
net.link.generic.system.port_used.wakeuuid_not_set_last_time: { sec = 0, usec = 0 } Wed Dec 31 19:00:00 1969
net.link.generic.system.companion_sndbuf_limit: 0
net.link.generic.system.if_verbose: 0
net.link.generic.system.delaybased_queue: 1
net.link.generic.system.dlil_input_threads: 23
net.link.generic.system.dlil_verbose: 0
net.link.generic.system.enable_netagent: 1
net.link.generic.system.flow_advisory: 1
net.link.generic.system.hwcksum_dbg: 0
net.link.generic.system.hwcksum_dbg_adjusted: 0
net.link.generic.system.hwcksum_dbg_bad_cksum: 0
net.link.generic.system.hwcksum_dbg_bad_rxoff: 0
net.link.generic.system.hwcksum_dbg_finalized_data: 0
net.link.generic.system.hwcksum_dbg_finalized_hdr: 0
net.link.generic.system.hwcksum_dbg_mode: 0
net.link.generic.system.hwcksum_dbg_partial_forced: 0
net.link.generic.system.hwcksum_dbg_partial_forced_bytes: 0
net.link.generic.system.hwcksum_dbg_partial_rxoff_adj: 0
net.link.generic.system.hwcksum_dbg_partial_rxoff_forced: 0
net.link.generic.system.hwcksum_dbg_verified: 0
net.link.generic.system.hwcksum_in_invalidated: 0
net.link.generic.system.hwcksum_rx: 1
net.link.generic.system.hwcksum_tx: 1
net.link.generic.system.rcvq_maxlen: 256
net.link.generic.system.rxpoll: 1
net.link.generic.system.rxpoll_decay: 2
net.link.generic.system.rxpoll_freeze_time: 1000000000
net.link.generic.system.rxpoll_interval_pkts: 0
net.link.generic.system.rxpoll_interval_time: 1000000
net.link.generic.system.rxpoll_max: 0
net.link.generic.system.rxpoll_sample_time: 10000000
net.link.generic.system.rxpoll_wakeups_hiwat: 100
net.link.generic.system.rxpoll_wakeups_lowat: 10
net.link.generic.system.sndq_maxlen: 128
net.link.generic.system.start_delay_disabled: 0
net.link.generic.system.start_delayed: 0
net.link.generic.system.threshold_interval: 2
net.link.generic.system.threshold_notify: 1
net.link.generic.system.tx_chain_len_count: 0
net.link.ether.inet.arp_llreach_base: 120
net.link.ether.inet.arp_unicast_lim: 3
net.link.ether.inet.host_down_time: 20
net.link.ether.inet.keep_announcements: 1
net.link.ether.inet.log_arp_warnings: 0
net.link.ether.inet.max_age: 1200
net.link.ether.inet.maxhold: 16
net.link.ether.inet.maxhold_total: 1024
net.link.ether.inet.maxtries: 5
net.link.ether.inet.probe_intvl: 7
net.link.ether.inet.proxyall: 0
net.link.ether.inet.prune_intvl: 300
net.link.ether.inet.send_conflicting_probes: 1
net.link.ether.inet.sendllconflict: 0
net.link.ether.inet.useloopback: 1
net.link.ether.inet.verbose: 0
net.link.iptap.log: 0
net.link.iptap.total_tap_count: 0
net.link.bridge.debug: 0
net.link.bridge.inherit_mac: 0
net.link.bridge.rtable_hash_size_max: 2048
net.link.bridge.rtable_prune_period: 300
net.link.bridge.segmentation: 1
net.link.bridge.txstart: 0
net.link.pktap.count_unknown_if_type: 0
net.link.pktap.log: 0
net.link.pktap.total_tap_count: 0
net.link.loopback.dequeue_sc: 0
net.link.loopback.max_dequeue: 256
net.link.loopback.sched_model: 0
net.link.fake.bsd_mode: 1
net.link.fake.buflet_size: 512
net.link.fake.debug: 0
net.link.fake.fcs: 0
net.link.fake.hwcsum: 0
net.link.fake.if_adv_intvl: 0
net.link.fake.link_layer_aggregation_factor: 32
net.link.fake.max_mtu: 2048
net.link.fake.multibuflet: 0
net.link.fake.nxattach: 0
net.link.fake.pktpool_mode: 0
net.link.fake.trailer_length: 0
net.link.fake.tx_drops: 0
net.link.fake.tx_headroom: 32
net.link.fake.txstart: 1
net.link.fake.user_access: 0
net.link.fake.wmm_mode: 0
net.key.debug: 0
net.key.spi_trycnt: 1000
net.key.spi_minval: 256
net.key.spi_maxval: 268435455
net.key.int_random: 60
net.key.larval_lifetime: 30
net.key.blockacq_count: 10
net.key.blockacq_lifetime: 20
net.key.esp_keymin: 256
net.key.esp_auth: 0
net.key.ah_keymin: 128
net.key.prefered_oldsa: 0
net.key.natt_keepalive_interval: 20
net.inet6.ip6.forwarding: 0
net.inet6.ip6.redirect: 1
net.inet6.ip6.hlim: 64
net.inet6.ip6.maxfragpackets: 1536
net.inet6.ip6.accept_rtadv: 1
net.inet6.ip6.keepfaith: 0
net.inet6.ip6.log_interval: 5
net.inet6.ip6.hdrnestlimit: 15
net.inet6.ip6.dad_count: 1
net.inet6.ip6.auto_flowlabel: 1
net.inet6.ip6.defmcasthlim: 1
net.inet6.ip6.gifhlim: 0
net.inet6.ip6.kame_version: 2009/apple-darwin
net.inet6.ip6.use_deprecated: 1
net.inet6.ip6.rr_prune: 5
net.inet6.ip6.v6only: 0
net.inet6.ip6.rtexpire: 3600
net.inet6.ip6.rtminexpire: 10
net.inet6.ip6.rtmaxcache: 128
net.inet6.ip6.use_tempaddr: 1
net.inet6.ip6.temppltime: 86400
net.inet6.ip6.tempvltime: 604800
net.inet6.ip6.auto_linklocal: 1
net.inet6.ip6.prefer_tempaddr: 1
net.inet6.ip6.use_defaultzone: 0
net.inet6.ip6.maxfrags: 3072
net.inet6.ip6.mcast_pmtu: 0
net.inet6.ip6.neighborgcthresh: 1024
net.inet6.ip6.maxifprefixes: 16
net.inet6.ip6.maxifdefrouters: 64
net.inet6.ip6.maxdynroutes: 1024
net.inet6.ip6.ula_use_tempaddr: 0
net.inet6.ip6.mcast.loop: 1
net.inet6.ip6.mcast.maxgrpsrc: 512
net.inet6.ip6.mcast.maxsocksrc: 128
net.inet6.ip6.fragpackets: 0
net.inet6.ip6.adj_clear_hwcksum: 0
net.inet6.ip6.adj_partial_sum: 1
net.inet6.ip6.check_interface: 1
net.inet6.ip6.checkinterface_debug: 0
net.inet6.ip6.input_perf: 0
net.inet6.ip6.input_perf_bins: 0
net.inet6.ip6.output_perf: 0
net.inet6.ip6.output_perf_bins: 0
net.inet6.ip6.select_src_expensive_secondary_if: 0
net.inet6.ip6.select_src_strong_end: 1
net.inet6.ip6.select_srcaddr_debug: 0
net.inet6.ip6.select_srcif_debug: 0
net.inet6.ip6.cga_conflict_retries: 3
net.inet6.ip6.clat_debug: 0
net.inet6.ip6.compliance_profile: 0
net.inet6.ip6.only_allow_rfc4193_prefixes: 0
net.inet6.ip6.maxchainsent: 1
net.inet6.ip6.dad_enhanced: 1
net.inet6.ipsec6.def_policy: 1
net.inet6.ipsec6.esp_trans_deflev: 1
net.inet6.ipsec6.esp_net_deflev: 1
net.inet6.ipsec6.ah_trans_deflev: 1
net.inet6.ipsec6.ah_net_deflev: 1
net.inet6.ipsec6.ecn: 0
net.inet6.ipsec6.debug: 0
net.inet6.ipsec6.esp_randpad: -1
net.inet6.icmp6.rediraccept: 1
net.inet6.icmp6.redirtimeout: 600
net.inet6.icmp6.nd6_prune: 1
net.inet6.icmp6.nd6_delay: 5
net.inet6.icmp6.nd6_umaxtries: 3
net.inet6.icmp6.nd6_mmaxtries: 3
net.inet6.icmp6.nd6_useloopback: 1
net.inet6.icmp6.nodeinfo: 0
net.inet6.icmp6.errppslimit: 861
net.inet6.icmp6.nd6_debug: 0
net.inet6.icmp6.nd6_accept_6to4: 1
net.inet6.icmp6.nd6_optimistic_dad: 63
net.inet6.icmp6.errppslimit_random_incr: 500
net.inet6.icmp6.nd6_onlink_ns_rfc4861: 0
net.inet6.icmp6.nd6_prune_lazy: 5
net.inet6.icmp6.rappslimit: 10
net.inet6.icmp6.nd6_process_rti: 1
net.inet6.icmp6.nd6_llreach_base: 30
net.inet6.icmp6.nd6_maxproxiedsol: 4
net.inet6.icmp6.nd6_maxsolstgt: 8
net.inet6.icmp6.prproxy_cnt: 0
net.inet6.mld.debug: 0
net.inet6.mld.gsrdelay: 10
net.inet6.mld.use_allow: 1
net.inet6.mld.v1enable: 1
net.inet6.mld.v2enable: 1
net.inet6.send.opmode: 1
net.inet6.send.opstate: 1
net.systm.kctl.autorcvbufhigh: 0
net.systm.kctl.autorcvbufmax: 262144
net.systm.kctl.debug: 0
net.pktsched.verbose: 0
net.necp.drop_all_level: 0
net.necp.debug: 0
net.necp.pass_loopback: 1
net.necp.pass_keepalives: 1
net.necp.socket_policy_count: 71
net.necp.socket_non_app_policy_count: 43
net.necp.ip_policy_count: 107
net.necp.session_count: 13
net.necp.client_fd_count: 76
net.necp.client_count: 114
net.necp.arena_count: 4
net.necp.nexus_flow_count: 10
net.necp.socket_flow_count: 0
net.necp.if_flow_count: 0
net.necp.observer_fd_count: 0
net.necp.observer_message_limit: 256
net.necp.sysctl_arena_count: 40
net.necp.drop_unentitled_level: 0
net.necp.pass_interpose: 1
net.necp.restrict_multicast: 1
net.necp.dedup_policies: 0
net.necp.drop_dest_debug: 0
net.mpklog.enabled: 1
net.mpklog.type: 0
net.mpklog.version: 1
net.qos.policy.capable_enabled: 0
net.qos.policy.restrict_avapps: 0
net.qos.policy.restricted: 0
net.qos.policy.wifi_enabled: 0
net.qos.reset_dscp_to_wifi_ac_map: 0
net.qos.verbose: 0
net.netagent.active_count: 30
net.netagent.debug: 5
net.netagent.registered_count: 41
net.cfil.active_count: 0
net.cfil.close_wait_timeout: 1000
net.cfil.debug: 1
net.cfil.log: 3
net.cfil.sbtrim: 1
net.cfil.sock_attached_count: 0
net.restricted_port.enforced: 1
net.restricted_port.verbose: 0
net.stats.debug: 0
net.stats.recvspace: 8192
net.stats.sendspace: 2048
net.classq.sfb.allocation: 0
net.classq.sfb.decrement: 16
net.classq.sfb.hinterval: 0
net.classq.sfb.holdtime: 0
net.classq.sfb.increment: 82
net.classq.sfb.pboxtime: 0
net.classq.sfb.ratelimit: 0
net.classq.verbose: 0
net.classq.target_qdelay: 0
net.classq.update_interval: 0
net.vsock.recvspace: 524288
net.vsock.sendspace: 524288
net.utun.max_pending_input: 512
net.utun.ring_size: 64
net.utun.rx_fsw_ring_size: 128
net.utun.tx_fsw_ring_size: 64
net.ipsec.debug: 0
net.ipsec.max_pending_input: 512
net.ipsec.ring_size: 64
net.ipsec.rx_fsw_ring_size: 128
net.ipsec.tx_fsw_ring_size: 64
net.ipsec.verify_interface_creation: 0
net.ndrv_multi_max_count: 1024
net.statistics_privcheck: 1
debug.kextlog: 4083
debug.lowpri_throttle_max_iosize: 131072
debug.lowpri_throttle_enabled: 1
debug.lowpri_throttle_tier1_io_period_msecs: 40
debug.lowpri_throttle_tier1_io_period_ssd_msecs: 5
debug.lowpri_throttle_tier1_window_msecs: 25
debug.lowpri_throttle_tier2_io_period_msecs: 85
debug.lowpri_throttle_tier2_io_period_ssd_msecs: 15
debug.lowpri_throttle_tier2_window_msecs: 100
debug.lowpri_throttle_tier3_io_period_msecs: 20
debug.lowpri_throttle_tier3_io_period_ssd_msecs: 25
debug.lowpri_throttle_tier3_window_msecs: 100
debug.bpf_bufsize: 4096
debug.bpf_debug: 0
debug.bpf_maxbufsize: 524288
debug.bpf_maxdevices: 256
debug.bpf_wantpktap: 1
debug.sched: 2
debug.toggle_address_reuse: 0
debug.iokit: 0
debug.iotrace: 0
debug.noidle: 0
debug.swd_panic: 1
debug.swd_timeout: 0
debug.swd_wake_timeout: 0
debug.swd_sleep_timeout: 0
debug.didevice_trace: 0
debug.didevice_bounce_count: 0
debug.didevice_no_bounce_count: 0
debug.didevice_cache_fully_satisfied: 0
debug.didevice_cache_spared_bytes: 0
debug.didevice_queue_depth: 0
debug.didevice_cache_size_default: 16777216
debug.didevice_enable_cache: 1
debug.didevice_read_by_kernel_bytes: 0
debug.didevice_write_by_kernel_bytes: 0
debug.mcc_debug: 2
debug.mcc_clampwaycount: -1
debug.batman: 3
hw.ncpu: 6
hw.byteorder: 1234
hw.memsize: 4045406208
hw.activecpu: 6
hw.optional.amx_version: 1
hw.optional.arm64: 1
hw.optional.armv8_1_atomics: 1
hw.optional.armv8_2_fhm: 1
hw.optional.armv8_2_sha3: 1
hw.optional.armv8_2_sha512: 1
hw.optional.armv8_crc32: 1
hw.optional.breakpoint: 6
hw.optional.floatingpoint: 1
hw.optional.neon: 1
hw.optional.neon_fp16: 1
hw.optional.neon_hpfp: 1
hw.optional.ucnormal_mem: 1
hw.optional.watchpoint: 4
hw.features.baseband: 1
hw.cacheconfig: 6 1 1 0 0 0 0 0 0 0
hw.cachelinesize: 128
hw.cachesize: 4045406208 49152 4194304 0 0 0 0 0 0 0
hw.cpu64bit_capable: 1
hw.cpufamily: 1176831186
hw.cpusubfamily: 1
hw.cpusubtype: 2
hw.cputype: 16777228
hw.ephemeral_storage: 0
hw.l1dcachesize: 49152
hw.l1icachesize: 98304
hw.l2cachesize: 4194304
hw.logicalcpu: 6
hw.logicalcpu_max: 6
hw.osenvironment: 
hw.packages: 1
hw.pagesize: 16384
hw.pagesize32: 16384
hw.physicalcpu: 6
hw.physicalcpu_max: 6
hw.serialdebugmode: 0
hw.tbfrequency: 24000000
hw.use_kernelmanagerd: 0
hw.use_recovery_securityd: 0
hw.targettype: N104
machdep.cpu.brand_string: Apple processor
machdep.cpu.core_count: 6
machdep.cpu.cores_per_package: 6
machdep.cpu.logical_per_package: 6
machdep.cpu.thread_count: 6
machdep.user_idle_level: 0
machdep.deferred_ipi_timeout: 64000
machdep.lck_mtx_adaptive_spin_mode: 1
machdep.time_since_reset: 1028398635591
machdep.virtual_address_size: 39
machdep.wake_abstime: 0
machdep.wake_conttime: 0
security.mac.platform_exec_logging: 0
security.mac.device_enforce: 1
security.mac.labelvnodes: 0
security.mac.max_slots: 3
security.mac.pipe_enforce: 1
security.mac.posixsem_enforce: 1
security.mac.posixshm_enforce: 1
security.mac.proc_enforce: 1
security.mac.socket_enforce: 1
security.mac.system_enforce: 1
security.mac.sysvmsg_enforce: 1
security.mac.sysvsem_enforce: 1
security.mac.sysvshm_enforce: 1
security.mac.vm_enforce: 1
security.mac.vnode_enforce: 1
security.mac.vnode_label_count: 0
security.mac.sandbox.audio_active: 0
security.mac.sandbox.sentinel: .sb-89f0fe31
kperf.limits.timer_min_bg_period_ns: 1000000
kperf.limits.timer_min_bg_pet_period_ns: 10000000
kperf.limits.timer_min_period_ns: 50000
kperf.limits.timer_min_pet_period_ns: 2000000
kperf.debug_level: 0
ktrace.background_pid: 0
ktrace.configured_by: 
ktrace.owning_pid: 0
ktrace.state: 0
